,x,y,target
0,-31.129798889160156,56.54948425292969,0.0
1,-32.691490173339844,-62.68330383300781,0.0
2,24.019710540771484,14.700889587402344,1.0
3,-45.5012321472168,-23.635112762451172,1.0
4,-19.021759033203125,-33.83697509765625,0.0
5,-7.596601963043213,-34.673484802246094,0.0
6,-2.7666943073272705,-65.7281265258789,0.0
7,8.518446922302246,-31.241575241088867,0.0
8,-32.27865219116211,-44.45774841308594,0.0
9,10.22843074798584,21.93338966369629,0.0
10,0.7986013889312744,62.17972183227539,0.0
11,27.455936431884766,22.73758316040039,0.0
12,-22.416645050048828,-2.000291347503662,0.0
13,-28.38612937927246,1.5006309747695923,0.0
14,-4.3365864753723145,31.068994522094727,1.0
15,42.808006286621094,-49.74629592895508,1.0
16,-37.383365631103516,-21.537479400634766,0.0
17,19.6182861328125,62.02793884277344,0.0
18,-3.0002527236938477,-39.91158676147461,0.0
19,52.69244384765625,-47.3680419921875,0.0
20,-22.746173858642578,-33.67036819458008,0.0
21,-43.2095832824707,25.246429443359375,0.0
22,-44.380332946777344,-7.197680950164795,0.0
23,19.264678955078125,31.983076095581055,0.0
24,-5.869722366333008,46.38270950317383,0.0
25,4.023731231689453,-24.054744720458984,0.0
26,1.8715605735778809,-37.4970817565918,0.0
27,1.6114014387130737,-37.802757263183594,0.0
28,-29.435943603515625,1.6591869592666626,0.0
29,25.6859073638916,-34.61268997192383,0.0
30,39.99567413330078,14.10830307006836,0.0
31,25.95070457458496,-15.549708366394043,0.0
32,17.242467880249023,-10.13924503326416,0.0
33,-21.037879943847656,-56.90336227416992,0.0
34,-10.532896995544434,-54.39875411987305,0.0
35,-16.96213150024414,-4.8647966384887695,0.0
36,-32.36644744873047,-55.43522262573242,0.0
37,-67.10404205322266,-22.499624252319336,1.0
38,35.85999298095703,-0.9828449487686157,1.0
39,12.510696411132812,-47.65034103393555,0.0
40,43.931575775146484,-5.102643013000488,0.0
41,39.37922286987305,19.54039764404297,0.0
42,5.165459632873535,42.78351974487305,1.0
43,17.33915138244629,-46.86783218383789,0.0
44,-25.723133087158203,-38.387786865234375,0.0
45,3.8157715797424316,-5.3144211769104,1.0
46,11.71503734588623,45.00151062011719,1.0
47,12.455153465270996,0.7418572902679443,0.0
48,53.344966888427734,34.7886962890625,0.0
49,30.40251922607422,1.0755072832107544,1.0
50,-11.177167892456055,-17.22846221923828,0.0
51,-37.32244110107422,31.36336326599121,0.0
52,30.475858688354492,17.897724151611328,0.0
