k,rain_read log-likelihood
2,79.11095663278111
3,81.13864650152621
4,82.13631063146977
5,82.76991333732308
6,83.47937643508988
7,83.91522795128718
8,84.34650027166354
9,84.43199091291157
10,84.63937511530429
15,85.90044497382064
20,86.50925616399286
25,86.83867559973955
30,87.16854693275052
35,87.40498787679793
40,87.59483383518797
