k,rain_read sse (left)
2,14397708897389.955
3,6392220142360.106
4,3603705518555.1265
5,2302945727855.223
6,1597822323153.0942
7,1169932278373.2537
8,901314424927.7405
9,708974999523.1156
10,573969263577.4016
15,255835784556.05783
20,143812288529.39587
25,91919348990.31471
30,63804546364.3942
35,46971736205.897736
40,35837661129.1451
