k,rain_read BIC
2,-11018322.035702335
3,-11298055.213159753
4,-11434256.363966653
5,-11519726.283449426
6,-11615767.19682456
7,-11673680.88353115
8,-11730956.46845848
9,-11740048.067962635
10,-11766125.291425183
15,-11927746.10220735
20,-11998475.972073099
25,-12030273.159743158
30,-12062133.3183932
35,-12080974.13920195
40,-12093322.041949315
