,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,16.683803701400755,0.07021284103393555,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",2,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 2}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.627236840339366,0.006811741566444715,0.0,0.0
1,17.779275703430176,0.06422896385192871,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",3,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 3}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,1.1706171196458297,0.0038158610041076433,0.0,0.0
2,16.511465311050415,0.07120990753173828,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",4,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 4}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,1.4155360729922686,0.01314861260489206,0.0,0.0
3,18.85519948005676,0.06662282943725586,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 5}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,1.1326616999470116,0.006746685764067618,0.0,0.0
4,21.816284132003783,0.06901540756225585,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",6,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 6}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,1.9858994789556215,0.004860875218293146,0.0,0.0
5,26.894310617446898,0.06422905921936035,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",7,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 7}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,4.1934253348975,0.0033730926413724576,0.0,0.0
6,26.7137939453125,0.07041120529174805,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",8,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 8}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,3.7405979445820092,0.0038155320833596755,0.0,0.0
7,30.19488835334778,0.06861720085144044,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",9,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 9}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.9970851552101877,0.003179498505730375,0.0,0.0
8,32.8541796207428,0.0704122543334961,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 10}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,2.606874774985348,0.004305541287460659,0.0,0.0
9,54.279309844970705,0.0682192325592041,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 15}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,10.754636592638791,0.004949607994596647,0.0,0.0
10,60.156002044677734,0.06921496391296386,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 20}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,5.074389527366165,0.003918667646656124,0.0,0.0
11,68.3872001171112,0.07998666763305665,0.5000000000000001,0.5000000000000001,0.001,"(100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100), 'NN__alpha': 0.001, 'km__n_clusters': 25}",1,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,4.885459524469944,0.0095124473649903,0.0,0.0
