k,shelter_read BIC
2,-20586577.93290632
3,-22470308.500540864
4,-22998922.86927819
5,-23725564.694383077
6,-23906078.164014187
7,-24142526.155741185
8,-24146276.394229684
9,-24274275.784268502
10,-24216800.61543004
15,-24683261.370041024
20,-24720482.458374716
25,-24742551.266515497
30,-24761528.535547845
35,-24666129.080475062
40,-24693191.445599213
