k,shelter_read log-likelihood
2,265.0304566972309
3,289.4981838350559
4,296.5551262198588
5,306.1563621647342
6,308.7408395080861
7,312.04397398598275
8,312.35736448661424
9,314.2671311763495
10,313.7938862657496
15,321.1130944242738
20,322.9173515822161
25,324.52692942839826
30,326.0967866055955
35,326.1971103761589
40,327.8708463704469
