k,GMM,Kmeans
2,0.7758130723081781,0.7758130723081781
3,0.7758130723081781,0.7758130723081781
4,0.7758130723081781,0.7758130723081781
5,0.7758130723081781,0.7758130723081781
6,0.7758130723081781,0.7758130723081781
7,0.7758130723081781,0.7758130723081781
8,0.7758130723081781,0.7758130723081781
9,0.7758130723081781,0.7758130723081781
10,0.7758130723081781,0.7758130723081781
15,0.7784395900909952,0.7758130723081781
20,0.778870166776703,0.7758130723081781
25,0.7764589373367397,0.7758130723081781
30,0.7767746935729254,0.7758130723081781
35,0.779544736917645,0.7758130723081781
40,0.7786405258776589,0.7758130723081781
