k,shelter_read sse (left)
2,2494315585149.971
3,1119002322184.5188
4,626241420172.3706
5,401363609961.0477
6,277648346062.3853
7,204413892862.18628
8,157090164478.95013
9,123485710271.03864
10,100173195727.23178
15,44597984589.93134
20,24900629836.468803
25,16002896857.677128
30,11132367702.840902
35,8128033050.048362
40,6228598876.493383
