,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,21.77398314476013,0.11568784713745117,0.5233053259035622,0.5230559892746821,0.1,"(50, 50)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",340,0.5248668034652316,0.524565758248395,0.5137688118306536,0.5150141053317006,0.5168132545457215,0.5189227318973937,0.5204327657554186,0.5204966447075725,0.5406457865556925,0.5362807061883489,8.360554195199873,0.008158403911004261,0.009428239479886198,0.007286679604773322
1,18.25349278450012,0.11134781837463378,0.5064439000613021,0.5071781103501655,0.1,"(50, 50)",3,"{'rp__n_components': 3, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",374,0.5000000000000001,0.5,0.4999999999999999,0.5,0.5076794693924427,0.5079285675943048,0.510334954710935,0.5130729070708054,0.5142057898108997,0.5148890770857173,4.244982121568518,0.0052235068038214046,0.005656158162848952,0.006290013654167073
2,34.73899502754212,0.11421599388122558,0.528857015507794,0.5298839849941765,0.1,"(50, 50)",4,"{'rp__n_components': 4, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",324,0.5240334705550266,0.5243266938164983,0.5225443679398417,0.5227576833786635,0.5331762763423082,0.5336679271381902,0.5328299367622693,0.533313715903508,0.5317014111276774,0.5353539047340233,7.831265176963718,0.007721440125826103,0.004596685141853017,0.005247265081331345
3,60.380219554901124,0.12397541999816894,0.5701558165008636,0.5723931144301101,0.1,"(50, 50)",5,"{'rp__n_components': 5, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",286,0.5775125166769948,0.5748006138898106,0.5800694179307219,0.5894812979075132,0.5655727155559108,0.5632870507687743,0.5721011339429445,0.5745769709226288,0.5555221937449639,0.5598196386618236,24.085331497064004,0.019406055069340043,0.008846744955099359,0.010426734730353092
4,60.371286392211914,0.11932544708251953,0.5596306127952668,0.5641673512750504,0.1,"(50, 50)",6,"{'rp__n_components': 6, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",297,0.5558913775195746,0.5580575238472556,0.5624241983193361,0.5726781287509167,0.5536823882667485,0.5565811894257064,0.5656829197889023,0.5715952067979845,0.5604724102034725,0.5619247075533882,9.089307841525395,0.00975206894014552,0.004347575994825976,0.00674560100476573
5,57.90628242492676,0.1115187644958496,0.6626187567318951,0.6678980302153524,0.1,"(50, 50)",7,"{'rp__n_components': 7, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",246,0.6628763807187867,0.6710789445912828,0.668247225467705,0.6759791935594854,0.6693717554965596,0.6700483445026943,0.6651469044478231,0.671395899632956,0.6474507426434812,0.6509877687903438,8.201066309776499,0.005205669006339367,0.007922091279007433,0.00869757783202481
6,73.33133115768433,0.11109180450439453,0.6678442562545487,0.6764773757026354,0.1,"(50, 50)",8,"{'rp__n_components': 8, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",238,0.6557397767203119,0.6652539728522866,0.6673199633372161,0.677619174777628,0.6707592175046801,0.6820583603387729,0.6668462273156426,0.6683983880512684,0.6785572425980315,0.6890569824932218,15.44566723211239,0.00499127633055804,0.0073628260883996976,0.008739936094210091
7,68.36936898231507,0.1352522373199463,0.6735572730533562,0.6806388432211902,0.1,"(50, 50)",9,"{'rp__n_components': 9, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",225,0.6736518463707967,0.6766204130812556,0.6754701510471172,0.6828612738979825,0.669609994531572,0.6761011932786556,0.6727306197673664,0.6845335824709319,0.6763238877761513,0.6830777533771253,6.865753940020244,0.017903515547110463,0.0023488798476332556,0.003543854468678639
8,52.831665420532225,0.11852798461914063,0.6927567040853971,0.7018823978468384,0.1,"(50, 50)",10,"{'rp__n_components': 10, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",185,0.6771121164798992,0.6835828963003211,0.689425987991975,0.7055887346003941,0.6978731293934072,0.7002499045987114,0.698529501800844,0.708826070721641,0.7008439768973161,0.7111643830131239,16.233507406384987,0.003925902902080098,0.008726543225377045,0.009855390046125432
9,66.11075091362,0.12214350700378418,0.6953746809801353,0.7067050355749848,0.1,"(50, 50)",15,"{'rp__n_components': 15, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",177,0.6986383201702978,0.708752782791002,0.6867884275457657,0.7046371106750804,0.6964444205929755,0.7060460583085352,0.6902439599056225,0.6969670993501598,0.7047585841288216,0.7171221267501462,15.410663893698388,0.026727270870644783,0.0063229341336838935,0.006515320768165341
10,52.89173340797424,0.09696774482727051,0.7070595462172073,0.7208741122105767,0.1,"(50, 50)",20,"{'rp__n_components': 20, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",153,0.7009917231041144,0.7139455087416686,0.7106541364047525,0.7232634710057502,0.7069975857786748,0.7196752126067885,0.7031011494376945,0.7158749162312319,0.7135537673973352,0.7316114524674449,11.067716790113485,0.0035011770967971136,0.004638683860144912,0.006251949743449003
