,0,1,2,3,4,5,6,7,8,9
2,0.9673455869894215,0.9688376559021464,0.9717801570141701,0.9742280658778318,0.9683037076042085,0.9697079826527665,0.9710865473579987,0.9729770330728127,0.9669945596921461,0.9661399023244702
3,0.9539211174581161,0.9502355314591481,0.9534632867505661,0.9518318826152868,0.955988281919533,0.9531591247700092,0.9500415685334516,0.9552800929136845,0.9602597321702925,0.9461505830137815
4,0.9448558003997145,0.9384752752877515,0.9406754636050845,0.9439751779917991,0.938164742930476,0.9380561813830126,0.9362509773397074,0.9386995189124324,0.9431955056633755,0.9470240032382274
5,0.9191203098987458,0.926192370389566,0.9295077674962609,0.9266660406628253,0.9303963856562215,0.9260307548996355,0.9199911342925184,0.9234632722677787,0.9194560438034973,0.9200234094740879
6,0.9110549122097023,0.9140589603399228,0.9057212562037417,0.8945457564089762,0.9050675688266161,0.9151234962029585,0.9133081740714286,0.9037161274158165,0.9174258655672467,0.9147880892934506
7,0.8913024522360773,0.8946149960592724,0.8974103969198516,0.8947599296937682,0.8912355289996449,0.8965422621494192,0.8960367862642792,0.8866972113922905,0.8888407693893855,0.900860403522271
8,0.8868199256280944,0.8787246105435299,0.8814257767948214,0.875640296709467,0.8903127401978868,0.8864794663100732,0.887839718685005,0.8707567517015472,0.8855707231451987,0.876620471908032
9,0.8691394163709024,0.86056017481024,0.8649892714725176,0.8663012512537578,0.860315331586604,0.8549278078481211,0.8677741793389282,0.8724158080940458,0.8684445653293735,0.8578326227668135
10,0.8486689808080232,0.8575166341998067,0.8459241962587449,0.8603972451399663,0.8440691027383874,0.8505929032715192,0.856031205701152,0.8578733205309748,0.8561258026449141,0.8536503993889749
15,0.7819630582345979,0.7757945277856472,0.7801785632894198,0.7859702306774601,0.7757465505168688,0.7698893095174647,0.7759156270196956,0.7728209940317181,0.7725716196330573,0.7660017098750438
20,0.7125010192878396,0.6994107709589049,0.7065507498070513,0.6987803746680896,0.7025933817417844,0.705645151529532,0.7057871476248136,0.697474449203135,0.6979296532045696,0.6871820387872161
25,0.6357878177040147,0.6371918595201624,0.6256520564877471,0.6118083839274893,0.6114213937568493,0.628621638435788,0.6287374747464377,0.6208395501015043,0.6224150597448652,0.6211996036354097
30,0.5502937517598916,0.5489527086986806,0.551024370379319,0.5663309810626471,0.5699643431789274,0.5369519943630342,0.5532099235552002,0.5555498794289147,0.5589129680809611,0.5483663884848219
35,0.47120444704755393,0.4723224086220768,0.4787678109329795,0.48996587289042653,0.4795851518357253,0.4852629698601817,0.4829541051324303,0.4725251393126289,0.46469782009675764,0.49571010747414335
40,0.420702575867331,0.39764455388136793,0.40039821403905806,0.3994574431558345,0.4025502344188792,0.42003686751781544,0.40750749960156724,0.402071177662625,0.3954095668256112,0.40172409347549154
45,0.333742365078568,0.32660521784733654,0.33193213151266066,0.3430574708021715,0.33314203207900756,0.3207437681901337,0.32907670317951926,0.3144616439699911,0.3296001661796501,0.33044636870060823
50,0.25567746865119406,0.24312132053550067,0.2515125004249832,0.2525221999258738,0.2478958312447297,0.24579962483895706,0.2535562571443585,0.25835244530552226,0.24823414452119344,0.2545094193904722
55,0.17208300935644563,0.19123746494007443,0.17339851081960175,0.17659812878240905,0.16745995144603573,0.1714251925929265,0.18274933223301051,0.19259285115001007,0.19879527182839904,0.1814136766949093
60,0.11004876296870156,0.10053354672767982,0.1031461752058979,0.10854875063947055,0.10449382625166635,0.10486828276173307,0.10202161762755785,0.10880142796857858,0.1079954960039819,0.10227677293552997
