,0,1,2,3,4,5,6,7,8,9
2,0.9676543202360403,0.962810211091458,0.9645687154856862,0.9638377010613146,0.9656438151854323,0.9671223584441069,0.9661436172925546,0.9634221703792603,0.9646679620788321,0.9647537639481675
3,0.9542036589351706,0.9532639843046098,0.9522336087980264,0.953171813846554,0.9528296761180431,0.9512152206120837,0.9540834193663961,0.9537569316419674,0.9525216787384305,0.9530612812254919
4,0.9384600653592179,0.9413008823011579,0.9426499939349241,0.9403973662187057,0.9422362067431439,0.9390363828507601,0.9413860682049014,0.9374621313024109,0.940979233527419,0.9408997611336244
5,0.9326921952621413,0.9263913477829214,0.9297990708505068,0.9301435944277048,0.9296724839767914,0.929860533871612,0.9312653954008684,0.9299793677378374,0.931865254978552,0.9300001616774399
6,0.9215789767646445,0.9205161297703348,0.9177113165998511,0.9182230336440877,0.9190611838478154,0.9168681420667275,0.915421309010493,0.9185528612702896,0.9183233550664589,0.9188555286900699
7,0.9092695782700028,0.9042802451942096,0.9052037798666281,0.9077411670877401,0.9033814609624825,0.9051515444879951,0.9058586153887177,0.9052646583987941,0.9049693235396019,0.9068820438896984
8,0.8937821874565539,0.895601298865796,0.8940695389138278,0.896429172569847,0.8955307468314386,0.8874416929634511,0.8942639648329894,0.8891993136345447,0.8944137584452783,0.8933871819754755
9,0.884017351134464,0.8844591550060179,0.8819835961504142,0.8830358913995477,0.8789602626227432,0.880565366857674,0.88597940390437,0.8827173977281904,0.8773658349552121,0.8820848520205209
10,0.8733045893961857,0.8675907088544387,0.8737588207557634,0.866284634516904,0.8714243949504298,0.871097608441275,0.8732087933526381,0.8709985139134963,0.8700447969921481,0.871051196455559
15,0.8151037057438454,0.8123985393526134,0.8150800238359934,0.8106442065860051,0.819618091864104,0.811307777856364,0.8070526431747128,0.8150001299597489,0.8143049909356056,0.8127345956268291
20,0.7536294994900403,0.7577861721258643,0.7523512519315524,0.7611902296754871,0.7511330953726427,0.7570842393962416,0.7616802644362768,0.7587527825115269,0.7485020383312775,0.7518463289844017
25,0.6903140768627082,0.6986052652128557,0.7031076291446017,0.7000953353371088,0.6901543970853586,0.690006366616588,0.6948151764168091,0.6922562362024782,0.6926212969114461,0.6928004956808332
30,0.6372498219698113,0.642022409330876,0.6373568789614773,0.6452613012092401,0.6394795205954332,0.6424130748813531,0.6393123906116814,0.6421659563711213,0.6407588157558481,0.6448678292633844
35,0.5844728868786432,0.5838368364563751,0.5734490354403496,0.5815898153971784,0.5765786900584419,0.5785784637164486,0.5814815479807073,0.5709393527563359,0.5727836963899758,0.5777105058183438
40,0.5243840387613439,0.5174859626973687,0.5198933191842346,0.5263821474031191,0.5180845982202109,0.5204642208118194,0.5266449675365753,0.5201480619723544,0.5315000285780821,0.5186751239610067
45,0.4665869716264056,0.4672173913971384,0.4679453061490016,0.4652038856806173,0.45554160643716535,0.4642996959459317,0.46348228516314866,0.4590051805647274,0.47447668514279134,0.45459901036991657
50,0.40679013541025744,0.4078212552205784,0.4086552197584619,0.40662985874803514,0.41006677507387057,0.40518259007109786,0.4052855710582427,0.3995772237705285,0.40692973715515735,0.4066150612804862
55,0.3500341646643671,0.3497230808686481,0.343009478091786,0.3494865393162721,0.3346572482811464,0.34663335612057344,0.3450423040628943,0.343605089058357,0.34199781996497497,0.34902223247284164
60,0.29038874309552726,0.2866715634427241,0.2868736320823491,0.2953446547308157,0.2867168639137037,0.28364962642489483,0.2911417160520895,0.28694901099925024,0.2900618778783764,0.2935184261376881
