,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,15.763841247558593,0.034726190567016604,0.7349611150388179,0.7348500062130406,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",368,0.7410622366915214,0.736852852905782,0.7325371020244942,0.7291470433821998,0.7289969806030844,0.7374174885092935,0.7333383277222902,0.7377379159063537,0.7388707310571302,0.7330947303615746,2.611558110009527,0.0007728061648274725,0.004395245914384481,0.003302973235665708
1,14.827582216262817,0.041695785522460935,0.8034297800446594,0.809129232208932,0.1,"(50, 50)",34,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 34}",105,0.7991531465358939,0.8052947944951815,0.8066680528644179,0.809515095712294,0.7982924795714201,0.8151916463263295,0.8060862745018097,0.8069010881565892,0.8069496479370382,0.8087435363542653,2.5770168541326033,0.0034612198789218365,0.0038630253582114344,0.0033680277720047535
2,13.819215440750122,0.047290372848510745,0.8012296409018214,0.8089317169761857,0.1,"(50, 50)",66,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 66}",231,0.8003209532237372,0.8085391276612507,0.8043381024651556,0.8093756071324812,0.7933042571559912,0.80883389379789,0.8009340526612448,0.8071388507784975,0.8072514623062499,0.8107711055108093,2.344471042530147,0.00016518319162198708,0.0046828724626561385,0.0011796994192918035
3,15.577838945388795,0.03265423774719238,0.7956401008568311,0.7968390782329464,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",322,0.7931702602367868,0.7958986951040227,0.7988650166156865,0.7967118625831568,0.7891702791048016,0.7967893132983191,0.7988783519739558,0.7985621212991654,0.7981170412473407,0.7962333988800677,3.23517290234154,0.00022159600097793319,0.003872474368674835,0.0009207285904090339
4,11.205348587036132,0.04051618576049805,0.8017247080475475,0.8063867382241054,0.1,"(50, 50)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 38}",199,0.8000364404599974,0.8051060008991082,0.8034395541335704,0.804299724510559,0.7949739969007608,0.8068848471719308,0.8035371995339929,0.8075485839495351,0.8066369428331575,0.8080945345893942,1.7270135313854678,0.0007056984286275891,0.0039692898026522675,0.001449860736420452
5,18.021616649627685,0.046411561965942386,0.8062940715535407,0.8161720914553591,0.1,"(50, 50)",71,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 71}",23,0.8019250399900758,0.8083991649379256,0.8113825521871175,0.8176927590254173,0.8015489061099044,0.8204639591825842,0.8077042526712337,0.8183113306407437,0.808910235030889,0.8159932434901249,3.8107676761644225,0.00025202823712718004,0.003907216153802483,0.004141479831630154
6,19.349133729934692,0.0349614143371582,0.7940430766375131,0.7982998037898399,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",331,0.7922127810361779,0.7967400853367015,0.8009207173029756,0.8009431088935139,0.7895224344894154,0.8029948547706987,0.7893017300631296,0.7931197787004725,0.7982582640033014,0.7977011912478132,3.4664154005473504,0.000397960144899305,0.004718792297323201,0.0034250338433066694
7,12.217237424850463,0.04475135803222656,0.8010976506263469,0.8077565121143291,0.1,"(50, 50)",43,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 43}",236,0.8026260636789563,0.8100022647586774,0.8033226956246096,0.8058847169956131,0.7919623124088822,0.8068446210866373,0.8017134321542838,0.807240286594295,0.8058640404761543,0.8088106711364218,2.39172989272176,0.002752038368873686,0.0047715218122700515,0.0014667179131533754
8,10.63686695098877,0.050600433349609376,0.8039084958624821,0.8099692096872877,0.1,"(50, 50)",75,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 75}",81,0.8013217411365916,0.8046922603863021,0.8104555494286521,0.8179733956384659,0.7995949448629652,0.8140311649599792,0.8060885848313952,0.8117247837585142,0.8020817274030423,0.8014244436931776,3.095427773086448,0.006654067678342141,0.003905178746684398,0.006074664328458339
9,13.673454332351685,0.03527050018310547,0.7983550426944265,0.8028542937962859,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 15}",302,0.7970368960336827,0.7988259992172619,0.8020086786851371,0.8041748174619813,0.7897538411777515,0.8020035781977716,0.7999826895158263,0.803510884267945,0.8029936437866659,0.8057561898364699,2.195773479902766,0.0003448536767527421,0.004758808874362831,0.002347201255628504
10,12.145510578155518,0.04326090812683105,0.8024364112388198,0.8085085005833298,0.1,"(50, 50)",48,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 48}",150,0.8023679097863557,0.8066015007928247,0.8015763072982972,0.8053916480484238,0.7992594884046937,0.8145378662692669,0.8017360088308951,0.8061712418547832,0.8072427803009207,0.8098402459513506,3.2278153549664945,0.0002244198814661223,0.0026240038039701606,0.0033746405020240386
