k,shelter_read BIC
2,2934650.470521265
3,-840355.1032498833
4,-1830433.9350891372
5,-4219101.219180996
6,-5058720.810378994
7,-7031539.956059488
8,-6597312.416463388
9,-8676618.877241176
10,-9517353.66714524
15,-10449564.2069012
20,-12177364.22020195
25,-11078555.905852394
30,-12964736.869977385
35,-12490507.88014538
40,-13686876.142622309
