k,shelter_read sse (left)
2,2513703152779.0205
3,1113526141054.234
4,627822909136.1069
5,400211505914.249
6,278689668495.6365
7,204348866386.13644
8,156002573222.28296
9,123704348742.52687
10,100373969274.001
15,44556595601.613045
20,24989068848.098896
25,16018028135.649979
30,11065492016.783176
35,8170020069.988765
40,6242878930.784648
