k,shelter_read log-likelihood
2,-37.33082064752573
3,11.358277375049148
4,24.266119077191625
5,55.14328512218286
6,66.11799853979898
7,91.65227042285983
8,86.26035917717425
9,113.16279987379887
10,124.15184157163476
15,137.06468021596433
20,160.19940026568997
25,147.01733123572723
30,172.18695917455042
35,167.02960137541245
40,183.3363875313178
