k,GMM,Kmeans
2,0.6092095796073594,0.6092095796073594
3,0.6092095796073594,0.6092095796073594
4,0.6092095796073594,0.6092095796073594
5,0.6092095796073594,0.6092095796073594
6,0.6092095796073594,0.6092095796073594
7,0.6092095796073594,0.6092095796073594
8,0.6445934834001439,0.6092095796073594
9,0.6092095796073594,0.6092095796073594
10,0.6096464179257889,0.6092095796073594
15,0.6413043478260869,0.6092095796073594
20,0.7631051495528831,0.6092095796073594
25,0.6135265700483091,0.6092095796073594
30,0.6517370747250488,0.6092095796073594
35,0.6982732038236201,0.6092095796073594
40,0.6823928461301264,0.6092095796073594
