,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,8.84336051940918,0.040292549133300784,0.5,0.5,0.001,"(100, 100)",2,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 2, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,1.040878460170217,0.002147574418174131,2.482342769509314e-17,7.021666937153402e-17
1,8.845554304122924,0.039295530319213866,0.5,0.5,0.001,"(100, 100)",3,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 3, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,0.39289491917043884,0.0024096152322161325,2.482342769509314e-17,7.021666937153402e-17
2,13.023387956619263,0.042287015914916994,0.5,0.5,0.001,"(100, 100)",4,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 4, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,2.3287507615664915,0.0017395497577460466,2.482342769509314e-17,7.021666937153402e-17
3,12.665345191955566,0.04128942489624023,0.5,0.5,0.001,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 5, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,0.7102107177693752,0.003763265660505462,2.482342769509314e-17,7.021666937153402e-17
4,17.268443632125855,0.0402923583984375,0.49999131983048906,0.4999939655116073,0.001,"(100, 100)",6,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 6, 'NN__alpha': 0.001}",14,0.5,0.4999999999999999,0.5,0.5,0.4999566036129641,0.49996982755803665,0.49999999999999994,0.4999999999999999,0.5,0.5,1.6593787020706148,0.0035399240153163444,1.735922385634232e-05,1.206897678531771e-05
5,19.654461479187013,0.040691804885864255,0.5,0.5,0.001,"(100, 100)",7,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 7, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,3.040008175867044,0.0024750036416700803,2.482342769509314e-17,7.021666937153402e-17
6,19.590235328674318,0.042087650299072264,0.49981825721760426,0.5000451676515573,0.001,"(100, 100)",8,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 8, 'NN__alpha': 0.001}",15,0.49909137948102356,0.5002258382577861,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,2.0979507408898277,0.006256369409565881,0.0003634622157909831,9.03353031144527e-05
7,22.047267532348634,0.04248642921447754,0.4999931778859435,0.5000090014596319,0.001,"(100, 100)",9,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 9, 'NN__alpha': 0.001}",13,0.5,0.4999999999999999,0.5,0.5,0.49996589293542865,0.5000450072981598,0.49999999999999994,0.4999999999999999,0.5,0.5,2.1087104202636455,0.0039199564563005985,1.3643351657070474e-05,1.800291926394859e-05
8,23.96833190917969,0.03909535408020019,0.5000080700617499,0.5000937035912348,0.001,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 10, 'NN__alpha': 0.001}",3,0.5000403461617491,0.5004685179561741,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,2.9611289310890707,0.0020343868130517236,1.613908671631986e-05,0.0001874071824696455
9,37.464319467544556,0.043084573745727536,0.5001006130252245,0.4999225086249714,0.001,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 15, 'NN__alpha': 0.001}",2,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5005031426997733,0.4996125431248571,7.897556630121249,0.002221227719806193,0.00020124544292722809,0.00015498275005714212
10,47.08673620223999,0.04288568496704102,0.5,0.5,0.001,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 20, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,5.502363246120604,0.004762305417517108,2.482342769509314e-17,7.021666937153402e-17
11,45.36852903366089,0.04847087860107422,0.5,0.5,0.001,"(100, 100)",25,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 25, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,9.74300507650444,0.00510884845078764,2.482342769509314e-17,7.021666937153402e-17
12,53.099663496017456,0.04448084831237793,0.5,0.5,0.001,"(100, 100)",30,"{'NN__hidden_layer_sizes': (100, 100), 'km__n_clusters': 30, 'NN__alpha': 0.001}",4,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,0.49999999999999994,0.4999999999999999,0.5,0.5,5.7597678907763745,0.0014921769913213373,2.482342769509314e-17,7.021666937153402e-17
