k,rain_read log-likelihood
2,-60.53377623315833
3,-54.08850220145095
4,-44.43835511255673
5,-36.10392985446433
6,-32.23948357371792
7,-28.923548801619805
8,-24.972630197074622
9,-23.705370393337624
10,-22.624747287922126
15,-7.151285882473374
20,-0.5190659354834906
25,9.384207181904229
30,14.935446941517196
35,17.248786828897988
40,17.18252910514255
