k,rain_read sse (left)
2,14347971567769.88
3,6397367238383.356
4,3599470338063.8867
5,2295075824790.1846
6,1602052224808.537
7,1171532721896.7292
8,898235957403.9247
9,709408099383.5125
10,573295375831.1201
15,255474850671.39902
20,143541674732.04272
25,92096806835.81258
30,63629292503.547424
35,46944516920.95485
40,35824489978.8512
