k,rain_read BIC
2,8460407.469075413
3,7574850.408364939
4,6242700.6968815895
5,5093894.191076815
6,4567970.315807248
7,4118480.422244803
8,3580506.8015985247
9,3416495.667527265
10,3278491.9840937103
15,1185191.0094666563
20,323899.34959292883
25,-993207.0274693961
30,-1703866.260192525
35,-1963330.621519845
40,-1891202.8149305533
