,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,18.155922842025756,0.06053800582885742,0.6345296950303305,0.6350699609302599,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",338,0.636564074513026,0.6385663899668715,0.6352356606389767,0.6396651309698074,0.6305738373293829,0.6270377660319021,0.6319212422170075,0.6246166548136206,0.638353750355095,0.645463862869098,1.8456419861716948,0.002989221950996285,0.002888348870635243,0.007939289198259137
1,13.954501676559449,0.058707141876220705,0.692745350752133,0.6927199662390582,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",303,0.6915115375824546,0.6928121151168878,0.6912401794767916,0.698989403453093,0.6944108289615796,0.6855655741045726,0.6921322302232004,0.6925893675010846,0.6944321242281799,0.6936433710196526,1.0195650484156111,0.0005414367109243805,0.001398764330394178,0.004274795752537975
2,16.28772644996643,0.05867743492126465,0.6878905600579968,0.6882073136265107,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",313,0.6693538766681801,0.6720707883755471,0.7001759640679649,0.7042469249433458,0.6880067893119651,0.6770432346142939,0.6886179832068249,0.6929125440217526,0.6932993899040515,0.6947630761776135,2.1699238267051855,0.000382245139957803,0.010240641267528565,0.011894624451910196
3,15.520523977279662,0.05905165672302246,0.7010452546771374,0.7015396152078008,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",260,0.70834293290388,0.710087220470042,0.7008656255239271,0.7052103508468592,0.7138932863221458,0.7058343046131669,0.6808090136848818,0.6850587274279017,0.7013150619156894,0.7015074726810346,1.390858866270243,0.0004018873583505676,0.011206615977323196,0.00867872004497396
4,17.21496558189392,0.05793619155883789,0.6973406489303162,0.6973487890392238,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",282,0.6921298947564041,0.6927969600071301,0.6705302129344253,0.6744002185485153,0.7073490467507944,0.6985636893690066,0.7015753155401374,0.7038472445813589,0.7151199295417136,0.7171358326901079,2.1698794178864693,0.00029436390203805874,0.01536320389502708,0.014018480936184468
5,25.299159383773805,0.05854697227478027,0.7068756846550819,0.7067727584513235,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",202,0.6912685555932826,0.6921173658926444,0.7089485024730375,0.7138812719379016,0.7247266699989083,0.7157211985256255,0.70622781008172,0.7079642211754843,0.7032074848636929,0.7041797347249618,10.394488163285779,0.0012586849494457227,0.010774263039946488,0.008408679209837473
6,18.558828115463257,0.06275901794433594,0.70363669094054,0.7030910213662281,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",232,0.7032349144329546,0.7038323609506595,0.7074247722634458,0.7135951662332748,0.7159895243303265,0.7059519802652571,0.7097080353858306,0.7107146266282968,0.681825132800032,0.6813609727536523,1.5802917181801586,0.004462622542021857,0.011659201335384877,0.01139636871539379
7,32.47178506851196,0.09170594215393066,0.7015509366154142,0.7011854675477441,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",255,0.7014627663722154,0.7020524850110726,0.6959813843636384,0.7034013506107679,0.6970856101765803,0.6878395110728521,0.6982872367423117,0.698176271185291,0.7149383623498371,0.7144577198587371,13.166105357891304,0.06080745424974866,0.00694021222307854,0.008590510525165341
8,22.492756795883178,0.06311283111572266,0.7038259227223899,0.7041771692746869,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",230,0.6919585713459838,0.6919210368299353,0.7130557428563253,0.7193131448727498,0.7196290641002717,0.7129398463182216,0.6943244036566912,0.6944813474776353,0.700162243752562,0.7022304708748919,7.858233308312712,0.00048182675030352404,0.010765414012390038,0.010525147445596015
9,26.73470540046692,0.09450278282165528,0.718108417339516,0.718359877225408,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",169,0.7273844212552446,0.7288689051457943,0.7112466727635897,0.7160477315597247,0.7196043711560178,0.7149971841151045,0.711202408267163,0.7108750306102191,0.721103897762347,0.721010534696197,15.962382082992344,0.07590869911582067,0.006197344607685526,0.006166722050574911
10,18.38949155807495,0.05661287307739258,0.7478542260602594,0.7481545152626159,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",116,0.7465910384197771,0.7453514451861881,0.7380948163213455,0.745339516466034,0.7477393769125787,0.7444360349090345,0.7527875969227078,0.7538182951857595,0.7540586768511466,0.7518272845660633,4.81086764054531,0.00039729709184063873,0.00565130809422444,0.003877528944888553
11,16.90165195465088,0.06074700355529785,0.7363128321186707,0.7373136376073637,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",147,0.7291805643133024,0.7283676611690447,0.7397475896523622,0.7488983846294655,0.7258732379727226,0.7234812136496407,0.7371722185748625,0.7400697799510146,0.7495915753983885,0.7457511486376533,3.8906371512889457,0.0004446930673325443,0.008351157948104038,0.009842364792588909
12,26.658312034606933,0.06330204010009766,0.7448677827265713,0.744735618956019,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",125,0.7245206749035468,0.7238119277185715,0.7409109871298982,0.7494247342678059,0.7525567643201522,0.7481955113115106,0.7514662560035626,0.7535619111513947,0.7548857566226458,0.7486840103308122,3.005557091358754,0.001168817178605265,0.011248972150241869,0.01063252313315661
13,31.31412806510925,0.0653414249420166,0.7420541183049885,0.7426628173201422,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",134,0.7468631147058796,0.7447601714694593,0.7429569252334208,0.7534969658129661,0.7399904930713804,0.7382064928822006,0.7550235778445502,0.7554160082741415,0.7254354042789721,0.7214344481619435,8.468068944620565,0.0011905134265991655,0.00972189159160666,0.012287587494006649
14,24.474297761917114,0.06885299682617188,0.7593275532538385,0.7600758041749389,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",89,0.747665888086549,0.7476688480448772,0.7604940442997803,0.7698843145069243,0.7644577914015511,0.7626079945954684,0.7669455475023479,0.764274205857514,0.7570749676307722,0.7559436578699102,3.4951410605043485,0.0018016094122763112,0.006734820476328134,0.007632203265717868
15,43.68785963058472,0.21920361518859863,0.7915606342601622,0.7916779345529097,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",78,0.7847005561428172,0.7833916611681161,0.7938600878047438,0.8023968556367163,0.7928185083685868,0.789970248106155,0.8070270345085492,0.8047273332845737,0.7793967180453061,0.7779035745689874,16.911740326944635,0.18404994475517,0.009392504792647915,0.010454602709175274
16,64.52904396057129,0.12373404502868653,0.87564214094684,0.8759618273861864,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",49,0.8851109228230795,0.8835693719121117,0.874625013993152,0.8770488808837872,0.8794312446004132,0.8790626107566119,0.8735894699652262,0.8760599898206283,0.8654530658676781,0.864068283557793,22.970976519423786,0.07908757370523277,0.006528088262367721,0.006482858893919261
