,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,26.27847580909729,0.0523007869720459,0.6886047572385603,0.6890454250766767,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",351,0.695378236893153,0.6903625068510807,0.68864792377815,0.689105811432432,0.6834457240725811,0.6880657726222439,0.6860842563609659,0.6917670789051205,0.6894671134642951,0.6859259555725061,3.275116821829883,0.0008281550610183248,0.003989941240519685,0.0019918112055733374
1,29.295513010025026,0.05802903175354004,0.6873532218712164,0.6888321857641786,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",352,0.6922406820371493,0.6887805203572392,0.6874297685287583,0.6874519436674698,0.681459740978078,0.688418207404052,0.6822455248406297,0.6886466843064193,0.6933904963813367,0.6908635730857129,7.134908805576953,0.01129094112429904,0.0049226490032007715,0.001117144653424579
2,24.767004013061523,0.053557205200195315,0.7058216093888311,0.7085556916329266,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",326,0.701976310711851,0.7025846916753501,0.7097810690914256,0.7135223455383565,0.6994629672853933,0.7033076389142741,0.7120131702376549,0.7210935279946873,0.7058748802401466,0.7022702540419652,3.4554246778100093,0.0003229035614052822,0.004674089548759883,0.0075440919293393565
3,16.324178743362427,0.053842687606811525,0.7911745208238068,0.7914519321614715,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",313,0.7896657192418806,0.7908132713372013,0.7959897265079403,0.7917834876400286,0.7892572222431737,0.7935751452480934,0.7894502027144333,0.7908410125876495,0.7915098992700489,0.7902467439943847,1.6049956608789882,0.0003219920579029318,0.002538687381623964,0.0011706025575562449
4,15.520852613449097,0.054952573776245114,0.7976520918661064,0.7977370455038124,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",283,0.8008043124200146,0.8031468041420131,0.7957764796896547,0.7898358647677747,0.7969325788068712,0.801915853310645,0.7901731999729557,0.7913132189246193,0.8045742274926656,0.8024734863740101,2.917934551806309,0.0010600288803666693,0.0048542452421437956,0.005879727889451904
5,24.296426439285277,0.05400080680847168,0.8013530281605995,0.8028490462833855,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",234,0.8021093822499632,0.8027288961759448,0.8036458699630993,0.8021352016266167,0.7997879253342248,0.8040983944825285,0.7968064789795682,0.8008774346705941,0.8044156916967237,0.8044053044612429,3.9124872128324077,0.0003485575059921766,0.00276871692829358,0.0012956907835482336
6,16.379161643981934,0.05450081825256348,0.801533664711488,0.8031917643262318,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",231,0.8016768725770048,0.8026051201596224,0.8047743640393124,0.8029851305647441,0.7958625734421497,0.8026503605212992,0.8044017384550622,0.8054955289833734,0.8009527099155126,0.8022226814021202,1.4533380021649953,0.0008092029556266516,0.0032014760275554848,0.0011769809071432214
7,20.448769330978394,0.05544061660766601,0.8013912962331031,0.8031381199292685,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",233,0.7978678458592997,0.8009711652581557,0.7994910989456403,0.7954446134911607,0.801315919563837,0.8060581898650203,0.8043245632542758,0.8082204969592666,0.8039576012315874,0.804996134072739,2.595381325119933,0.0003832446885105408,0.0024988651380602124,0.004509885034497747
8,20.002906179428102,0.054961204528808594,0.8034996902188771,0.8059760722380898,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",207,0.8058214314198558,0.8072258012181067,0.8065378589971879,0.8060127465346062,0.7970302242072937,0.8029585007433937,0.7994747227859313,0.8065135234996175,0.8086344666776649,0.8071697891947244,3.5597653689395945,0.0004147517979882562,0.004450603282073017,0.0015737038656746163
9,17.990090751647948,0.05208125114440918,0.8062955578261264,0.8109641060019654,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",172,0.8029431513878283,0.8102946819473993,0.8046897312305257,0.8043061266245349,0.8011665125880685,0.8094664120416054,0.8076268736178369,0.8158990066626471,0.8150526093843471,0.8148543027336406,3.892385590816795,0.0002441677994803768,0.004869843543428466,0.004159489879683641
10,19.21783013343811,0.053409481048583986,0.8100401201140653,0.8145535377108188,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",40,0.7995592973377131,0.8033916114952483,0.8163802197734993,0.8185182707467588,0.8067482688666441,0.8192475246141374,0.8118103029147865,0.81517315345382,0.815703963666742,0.81643712824413,4.001014580446599,0.00040140883257134896,0.006262594662506829,0.005766681106196091
