k,shelter_read sse (left)
2,2507064061069.333
3,1118926318727.8325
4,625628403043.733
5,400180086560.3483
6,279367917010.0047
7,204725200520.60184
8,156399360254.9427
9,123327540272.28107
10,100088087133.4011
15,44520735833.368065
20,25005835073.28279
25,16033383049.771
30,11109938286.20546
35,8137422073.601269
40,6241678919.809238
