k,rain_read log-likelihood
2,-20.30199651297712
3,-19.271190443887402
4,-18.102951289480387
5,-17.767906777995677
6,-17.30838790518038
7,-16.99503739607418
8,-13.995737771469258
9,-16.593025512830632
10,-13.979154766304458
15,-12.718811670846096
20,-12.776624872759307
25,-10.84388568699953
30,-11.285783569649219
35,-10.84944053690587
40,-10.834657907323447
