k,shelter_read BIC
2,841399.135469092
3,363854.63449129544
4,191699.18302434398
5,38392.476717928366
6,-466003.61781823623
7,-650324.8035611907
8,-908796.943335339
9,-357945.3479204568
10,-939112.8139705141
15,-1413963.2887610525
20,-1346553.7456945116
25,-1455898.597514179
30,-1851755.1337614458
35,-1820723.2947614985
40,-1544476.9795908353
