k,shelter_read log-likelihood
2,-10.7690351197256
3,-4.612678061273047
4,-2.3800162632640784
5,-0.3895266458560944
6,6.111824676631406
7,8.500794089451801
8,11.84246873959353
9,4.785801638411501
10,12.27352580900637
15,18.478375777771806
20,17.71616826559008
25,19.224934066264357
30,24.41485523269564
35,24.12003522265434
40,20.674654053055075
