k,rain_read sse (left)
2,14395070984296.4
3,6385590697658.891
4,3600694255369.2607
5,2299219363335.572
6,1595146526432.8188
7,1170778315769.6628
8,898778012843.5134
9,708924973819.4529
10,573741618957.3602
15,255370918712.1091
20,143958702218.44754
25,91925113812.47803
30,63752565055.192955
35,46821998987.0786
40,35887930955.80832
