k,rain_read BIC
2,2832443.8427528045
3,2690509.2707597744
4,2529423.6731939497
5,2484442.082730063
6,2422115.238963481
7,2380156.664343035
8,1963916.452376072
9,2327549.496681781
10,1965018.0280173358
15,1797922.6989638251
20,1814509.8136364487
25,1553717.4341916165
30,1623825.9809555064
35,1571553.4126412077
40,1578024.443386577
