k,rain_read BIC
2,4118946.217436161
3,3793634.9281962174
4,3734754.2704717536
5,3681723.22686514
6,3656857.5380873266
7,3631781.884015244
8,3615052.7861731364
9,3605449.78195378
10,3586306.843866758
15,3542945.1680186377
20,3505281.687549684
25,3479378.878597341
30,3467751.413927909
35,3447243.407179823
40,3434464.602702544
