k,GMM,Kmeans
2,0.7758130723081781,0.7758130723081781
3,0.7758130723081781,0.7758130723081781
4,0.7758130723081781,0.7758130723081781
5,0.7758130723081781,0.7758130723081781
6,0.7758130723081781,0.7758130723081781
7,0.7758130723081781,0.7758130723081781
8,0.7758130723081781,0.7758130723081781
9,0.7758130723081781,0.7758130723081781
10,0.7758130723081781,0.7758130723081781
15,0.7758130723081781,0.7758130723081781
20,0.7827310043918821,0.7758130723081781
25,0.7850274133823234,0.7758130723081781
30,0.7932370755231507,0.7758130723081781
35,0.7848121250394695,0.7758130723081781
40,0.7849412980451819,0.7758130723081781
