k,rain_read log-likelihood
2,-29.546299352331406
3,-27.20553297839755
4,-26.77674690927954
5,-26.389939297820423
6,-26.205254105260746
7,-26.019062143359072
8,-25.892767390100328
9,-25.81761146641037
10,-25.673994324276908
15,-25.331608405404154
20,-25.030114321212682
25,-24.813018086409866
30,-24.698365692084923
35,-24.51998405816807
40,-24.39706932920003
