k,shelter_read BIC
2,1620465.7990791372
3,1616075.3663741255
4,1571637.9026537535
5,1561081.5731321408
6,1508973.952960261
7,1446786.8313084892
8,1411076.1275168275
9,1407159.1924724688
10,1375256.669477086
15,1281144.0164620355
20,1213733.2376953422
25,1189995.3517959241
30,1145930.887834458
35,1131261.7767658473
40,1073720.6248016998
