k,rain_read sse (left)
2,14385645727432.574
3,6375247006604.068
4,3580941475480.5557
5,2295739966005.748
6,1596548585124.141
7,1172883199947.6113
8,898718365837.765
9,709232399116.5553
10,575346026910.2684
15,256433089051.08667
20,143600915217.2651
25,91900430354.15907
30,63905788988.928055
35,46829725471.94426
40,35911879280.19699
