,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,21.412364053726197,0.0402923583984375,0.7407276373747255,0.7405200888408523,0.001,"(100, 100)",2,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 2, 'NN__alpha': 0.001}",8,0.7343365385655234,0.7407995027969879,0.7344326899853617,0.7428810719179093,0.7423593936263047,0.7363971909621221,0.7471837638195175,0.7393682414555119,0.7453286418663695,0.7431544370717302,2.1726780265842085,0.0037109142811977795,0.005403421156086296,0.0024866500826660823
1,16.42210445404053,0.04228696823120117,0.7377239493134058,0.7383068781182255,0.001,"(100, 100)",3,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 3, 'NN__alpha': 0.001}",9,0.7294489684831313,0.7390235629176198,0.7336201515629216,0.7421327849559181,0.7393449391632567,0.7314961887291187,0.7435262687446492,0.7397160400520708,0.7426821834007161,0.7391658139364001,2.5442014971644364,0.0011966705797278722,0.005407312201031378,0.0035849741500551843
2,18.01205267906189,0.046077537536621097,0.7417298900258292,0.7426285007646947,0.001,"(100, 100)",4,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 4, 'NN__alpha': 0.001}",7,0.7393944360008664,0.7461255282105919,0.7273087501812804,0.7313810203187864,0.7392919761605483,0.7364296776936585,0.7433003261826818,0.7425750110751334,0.7593588946563873,0.7566312665253028,7.346631925014647,0.003752879118279331,0.010320749678536254,0.008639915912759862
3,17.89057855606079,0.05325779914855957,0.7331957837354807,0.7350283594027732,0.001,"(100, 100)",5,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 5, 'NN__alpha': 0.001}",10,0.7566345866154451,0.7649769336405116,0.6999899619858742,0.700767714859554,0.7344538335924639,0.7347590943302523,0.7318004913652486,0.7251948268184897,0.7431022319518364,0.7494432273650581,4.682546539799291,0.008190051240489932,0.018728725844956776,0.021795725032793437
4,29.729332160949706,0.046675825119018556,0.6993000012568128,0.6996507496050757,0.001,"(100, 100)",6,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 6, 'NN__alpha': 0.001}",15,0.6865707731295118,0.6962114420938139,0.6635349171766782,0.6646617941423303,0.7386683437359881,0.730535611204483,0.7143002255402698,0.7103976934516377,0.6934280921063263,0.6964472071331134,12.357352675118461,0.0026310747282506123,0.025498213081124956,0.021520641268123815
5,25.88261432647705,0.04946885108947754,0.7093545730777109,0.7106698441672598,0.001,"(100, 100)",7,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 7, 'NN__alpha': 0.001}",14,0.7471318870274196,0.7542963442424436,0.7090270862778405,0.711439094771961,0.6968108646806372,0.6919470645178343,0.6954630317392598,0.6922179628524214,0.6983335947076657,0.7034487544516385,9.38147978943971,0.0050303678208168815,0.019489117960692953,0.02300878872883892
6,30.922544765472413,0.056049013137817384,0.710006852474906,0.7124570119032777,0.001,"(100, 100)",8,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 8, 'NN__alpha': 0.001}",13,0.7077926462395853,0.7189858240489151,0.6981474872660026,0.7024876350628497,0.7477522612567872,0.7415023880781392,0.6983475015330454,0.694795332797805,0.6979882823378255,0.7045138795286795,10.351313253106524,0.0035903119197055865,0.019239375248770205,0.016496520848371478
7,38.38479752540589,0.054653501510620116,0.7173256238488186,0.7178445035897317,0.001,"(100, 100)",9,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 9, 'NN__alpha': 0.001}",11,0.6992954118233942,0.7110787373492655,0.7441793382730346,0.7438948087607181,0.7329188077168483,0.729198211863728,0.6990319184878308,0.6951966150376576,0.7111963677730373,0.7098541449372889,16.043696566823904,0.0015945559454387797,0.018229977953860502,0.016911968372457425
8,32.0359673500061,0.061236238479614256,0.7159148379231774,0.7180238799815288,0.001,"(100, 100)",10,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 10, 'NN__alpha': 0.001}",12,0.7501713672024805,0.7601848980418493,0.6861488715136966,0.6885689948402437,0.7195649214109455,0.713938570849739,0.7437082712872748,0.7406189830495049,0.679978666028178,0.6868079531263067,7.6217649077589344,0.007263677858153829,0.028763254006512477,0.028798625749692615
9,45.662343692779544,0.06861729621887207,0.7452718812736148,0.7465998348120472,0.001,"(100, 100)",15,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 15, 'NN__alpha': 0.001}",5,0.7520477410170172,0.7592513639009901,0.7483038667705962,0.7519068445920228,0.7440086643035739,0.7409644154315166,0.7506838447288033,0.7463175942847949,0.7313130935500698,0.734558955850911,4.791907462385089,0.0020341905382813144,0.007494121730416835,0.00854454116450429
10,60.590041923522946,0.09015865325927734,0.7511040174568295,0.7510038551803533,0.001,"(100, 100)",20,"{'NN__hidden_layer_sizes': (100, 100), 'gmm__n_components': 20, 'NN__alpha': 0.001}",4,0.7419587742641955,0.7436530348423316,0.7281117219880482,0.7367361173699498,0.7567610323182461,0.7508935238012722,0.7684422364921895,0.7630755569636248,0.7602531278045574,0.7606610429245876,3.685659242738621,0.004485839870863885,0.01434301202495906,0.009965965421906007
