k,shelter_read log-likelihood
2,-20.807960013514297
3,-20.745440163850457
4,-20.168388617514807
5,-20.02664817970469
6,-19.35104903788765
7,-18.545946587921105
8,-18.081018074897077
9,-18.024581811170293
10,-17.608581512714554
15,-16.36885088539967
20,-15.472190900601454
25,-15.136648359364695
30,-14.539946165773529
35,-14.320920928869274
40,-13.551067743363712
