k,shelter_read sse (left)
2,2507870083475.0796
3,1117914644900.1836
4,624359016878.2222
5,402669113706.565
6,278924216044.2194
7,204987159238.5226
8,156539596341.82794
9,124194334790.62729
10,100026778661.24413
15,44666123275.31847
20,24983571077.069935
25,15995068227.240322
30,11126048849.921415
35,8166203576.148338
40,6253732385.157908
